Letter,X1,Y1,X2,Y2
A,36,173,236,388
B,236,173,436,388
C,436,173,636,388
D,636,173,836,388
E,836,173,1036,388
F,1036,173,1236,388
G,36,431,236,646
H,236,431,436,646
I,436,431,636,646
J,636,431,836,646
K,836,431,1036,646
L,1036,431,1236,646
M,36,689,236,904
N,236,689,436,904
O,436,689,636,904
P,636,689,836,904
Q,836,689,1036,904
R,1036,689,1236,904
S,1236,689,1436,904
T,1436,689,1636,904
U,36,947,236,1162
V,236,947,436,1162
W,436,947,636,1162
X,636,947,836,1162
Y,836,947,1036,1162
Z,1036,947,1236,1162
a,1236,947,1436,1162
b,1436,947,1636,1162
c,36,1205,236,1420
d,236,1205,436,1420
e,436,1205,636,1420
f,636,1205,836,1420
g,836,1205,1036,1420
h,1036,1205,1236,1420
i,1236,1205,1436,1420
j,1436,1205,1636,1420
k,36,1463,236,1678
l,236,1463,436,1678
m,436,1463,636,1678
n,636,1463,836,1678
o,836,1463,1036,1678
p,1036,1463,1236,1678
q,1236,1463,1436,1678
r,1436,1463,1636,1678
s,36,1721,236,1936
t,236,1721,436,1936
u,436,1721,636,1936
v,636,1721,836,1936
w,836,1721,1036,1936
x,1036,1721,1236,1936
y,1236,1721,1436,1936
z,1436,1721,1636,1936
